id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
11521935,Lovely room with terrace in Dublin,60743807,Andres And Indira,,Dublin City,53.33331,-6.37827,Private room,35,1,205,2019-01-27,5.94,2,14
11522656,Nice and Bright Apartment,52216186,Facundo,,Dublin City,53.34241,-6.2812,Entire home/apt,30,1,1,2016-03-27,0.03,1,0
11524249,Beautiful apartment only 20 min from city centre,44115020,Nenad,,Dublin City,53.35878,-6.2924,Entire home/apt,90,3,6,2018-06-11,0.17,1,0
11525921,Modern Apartment in North Dublin,14709402,Valentina,,Dublin City,53.36463,-6.24476,Private room,50,1,5,2016-05-01,0.15,1,0
11526781,Single room in cozy house,6175144,Suzanne,,Dn Laoghaire-Rathdown,53.29114,-6.13762,Private room,35,1,2,2016-03-30,0.06,1,0
11528050,Executive Serviced Apartment,52104107,Alex,,Dublin City,53.34409,-6.24664,Entire home/apt,139,2,76,2019-01-27,2.12,8,62
11530553,City Center - Cozy Appartement,60810808,Helena,,Dublin City,53.34874,-6.26955,Entire home/apt,255,3,0,,,1,0
11538015,Spacious Double room in Dublin / Grand Canal Dock.,26546210,Eliana & Conor,,Dublin City,53.34226,-6.2302,Private room,65,3,78,2019-02-03,2.21,1,50
11540147,Located in the Camden Quarter,60882873,Grainne,,Dublin City,53.33381,-6.26563,Entire home/apt,225,4,34,2018-09-30,1.09,1,18
11541636,Massive Dublin Penthouse,60890454,Graham,,Dublin City,53.3785,-6.32371,Private room,1000,2,8,2016-10-11,0.23,1,179
11551428,Single room in South Dublin,60618929,Andris,,Dublin City,53.31518,-6.31219,Private room,35,1,2,2016-08-13,0.06,3,0
11551602,(MT) Twin Attic Room Dublin City,55424579,Aline,,Dublin City,53.36051,-6.26409,Private room,60,2,2,2016-04-24,0.06,6,0
11552188,"Cozy room,Huge bed ,Parking !",60988103,Claudia,,Fingal,53.40277,-6.40254,Private room,35,1,30,2017-06-26,0.85,3,43
11562437,"Comfortable, Modern, 1 BD apartment",54356858,Deirdre,,Dublin City,53.36321,-6.17999,Entire home/apt,70,29,15,2016-09-25,0.43,1,42
11565151,"Beautiful Home, City Centre via Tram in 15 mins",23192298,Ross,,Dn Laoghaire-Rathdown,53.29315,-6.24146,Entire home/apt,300,4,5,2018-08-26,0.16,1,139
11565492,Best views for St Patrick's Parade,3737305,Javier,,Dublin City,53.34023,-6.27303,Entire home/apt,350,2,1,2017-03-19,0.04,2,334
11566244,Quaint 1900s 1 bedroom town cottage,61099534,Hugh,,Dublin City,53.32768,-6.27405,Entire home/apt,80,2,81,2018-09-30,2.56,1,9
11566781,Double Room in Dublin's Georgian District,25963264,Senan & Noel & Fidelma,,Dublin City,53.33107,-6.25178,Private room,50,7,6,2018-10-20,0.21,3,188
11567237,Trendy Dublin City Rathmines home - 2 gardens 3bed,20463397,Robert,,Dublin City,53.32648,-6.26432,Entire home/apt,200,3,23,2019-01-05,0.99,1,293
11567383,(J) - Single Room city centre,55424579,Aline,,Dublin City,53.35907,-6.26417,Private room,40,2,2,2016-03-19,0.06,6,0
11570753,"Family friendly period home, D7",59623671,Paul,,Dublin City,53.35735,-6.28006,Entire home/apt,200,3,1,2016-05-25,0.03,1,0
11572186,(P)- Cosy Single Room - City Center,55424579,Aline,,Dublin City,53.36018,-6.26376,Private room,35,3,4,2016-04-25,0.11,6,0
11578945,CityCentre lovely home- Rathmines,4609514,Gustavo,,Dublin City,53.31936,-6.26176,Private room,46,2,0,,,1,0
11579437,Bright and Spacious Double Bedroom,58600197,Dessy,,Dublin City,53.39449,-6.168,Private room,35,1,42,2018-01-01,1.19,2,0
11580476,Superb Apartment - Great Location,35560687,Ben & Damien,,Dublin City,53.33959,-6.2737,Entire home/apt,75,2,46,2017-05-01,1.64,1,0
11587474,Centrally Located Modern House!,50801250,Clare,,Dublin City,53.33051,-6.25777,Entire home/apt,160,3,101,2019-01-03,3.29,1,2
11587490,"St Patrick Cathedral: Bright, Modern Flat",21449442,Marco,,Dublin City,53.33907,-6.27433,Entire home/apt,91,4,102,2019-02-04,2.89,1,10
11587622,"Modern, spacious apartment close to city centre",24418759,Caroline,,Dublin City,53.3213,-6.2447,Entire home/apt,160,2,2,2016-10-30,0.07,1,0
11590759,(D) - Cosy Single Room City Centre,55424579,Aline,,Dublin City,53.35855,-6.26393,Private room,35,2,1,2016-03-16,0.03,6,0
11590832,Cosy Single Room City Centre,55424579,Aline,,Dublin City,53.36109,-6.26372,Private room,35,2,1,2016-04-27,0.03,6,0
11601585,Fantastically central apartment.,10549666,J,,Dublin City,53.33993,-6.26527,Entire home/apt,100,2,187,2019-01-28,5.27,4,31
11602013,Charming city centre oasis!,10549666,J,,Dublin City,53.33938,-6.24233,Entire home/apt,100,2,152,2019-01-05,4.30,4,61
11602451,"Single, private, cozy room, Parking !",60988103,Claudia,,Fingal,53.40326,-6.40247,Private room,22,1,22,2017-07-20,0.62,3,43
11604537,Large  3 Bedroom Period House,61410545,Anne,,Dublin City,53.33884,-6.32291,Entire home/apt,150,2,35,2018-08-27,0.99,1,0
11605911,City Pad @ Guinness hop house,25682541,Christian,,Dublin City,53.34223,-6.28934,Entire home/apt,105,1,192,2019-01-13,5.41,7,121
11618147,"Explore Dublin from a Modern, Colourful apartment",566993,Jonathan,,Dublin City,53.35044,-6.23819,Entire home/apt,70,4,27,2019-01-03,0.81,1,45
11619145,"Pavilion View, Rathmines, Dublin 6",61528134,Damien,,Dublin City,53.32491,-6.26645,Private room,60,10,1,2017-12-11,0.07,1,0
11620981,Double room close to city Centre,59647114,Fionnuala,,Dublin City,53.37032,-6.20188,Private room,53,2,24,2016-10-11,0.68,1,0
